"","GSM341241","GSM341242","GSM341243","GSM341244","GSM341245","GSM341246"
"Meltf",26.26407,27.66347,33.93115,37.66576,30.25006,37.99578
"Pitpnm2",152.1466,160.4819,176.0572,138.3429,111.1801,160.9756
"Abcb1a",48.65272,56.63564,65.79257,51.89646,49.06533,57.93231
"Rwdd2b",107.3203,92.34266,97.83467,123.0712,108.8722,114.8354
"Ubd",4.782982,10.10144,7.736085,5.700999,11.28877,6.059377
"Nkap",40.3764,36.11383,44.78035,29.7422,25.17448,25.93666
"Chil3",1.902005,4.1496,2.011605,1.443794,1.42496,0.2629492
"Sik1",47.5537,43.82715,51.75316,43.55509,39.10846,42.10569
"Padi3",28.56935,29.53835,29.25094,23.24389,28.71893,24.17924
"Cd22",2.679982,3.733862,1.396618,0.2689932,4.041334,0.7938772
"D2Ertd239e",17.60881,20.57936,12.3209,18.90822,17.07247,12.15727
"AA517864",0.2048473,1.591663,0.9847813,2.474098,0.7983705,0.6561861
"AA516738",0.842141,2.18553,0.9852189,1.040998,0.5923225,2.906253
"Agap2",4.94143,7.766797,8.738056,4.252648,7.645054,5.095916
"AA517631",3.320961,4.032522,4.243142,6.620802,5.471366,4.341579
"Gm15934",2.057235,2.503867,10.13687,3.169668,5.734521,7.025079
"AA672641",1.505259,0.07017488,2.220491,1.544809,1.025123,1.048409
"Rab26os",31.56824,23.84118,25.5222,27.63163,32.99236,23.41873
"Ccdc12",418.2403,377.0403,362.8875,420.5478,387.4327,408.3606
"Ggps1",377.5503,349.2686,349.3774,342.2283,328.5827,345.0119
"D4Ertd335e",7.613765,2.161207,7.909889,6.650291,8.608451,4.511978
"Cog4",806.1495,874.2786,861.7337,887.5893,896.9373,929.325
"Coa3",694.0475,709.6749,713.6827,772.5327,813.6869,744.8659
"S100a1",39.75655,43.28407,70.97093,47.93515,34.0507,42.57441
"Ankzf1",198.1655,200.6413,180.842,204.4408,205.4295,216.7013
"Sec63",515.0596,511.2166,498.7801,509.4159,535.6763,517.5673
"Pkhd1",3.433827,2.582297,2.491333,3.131841,3.321983,6.631231
"Idh1",1371.527,1361.516,1315.967,1274.709,1336.974,1324.111
"Ksr1",83.77744,86.86407,86.72248,67.8604,61.6865,74.08923
"AA416453",24.31578,20.7043,25.86559,16.83315,18.61558,17.8363
"Acpp",1.028422,5.113608,4.8744,2.831299,0.7788367,5.446868
"Arap3",40.33902,46.50501,55.68843,33.13208,25.04556,39.54619
"Plec",1026.724,960.8207,987.954,1011.863,1017.497,1022.255
"Plk4",659.0023,621.6863,596.5644,619.5073,618.6017,630.4755
"Prpf19",423.8034,440.8543,490.5032,436.6273,394.9518,461.7948
"Krt72",4.078043,3.641268,4.475289,4.661232,3.817332,6.723873
"Gm2682",5.498607,0.7523882,9.766025,3.058861,4.7738,2.878123
