"","GSM341241","GSM341242","GSM341243","GSM341244","GSM341245","GSM341246"
"Atp6v0d1",470.0182,484.6338,480.1793,429.7038,420.5993,507.0099
"Golga7",786.303,768.4595,736.6007,726.738,744.4111,720.2919
"Psph",315.2714,324.3319,307.026,320.8162,358.449,326.5844
"Trappc4",625.5927,630.7676,598.4599,653.3558,669.1454,590.9767
"Dpm2",498.8699,499.2329,507.0856,514.892,525.352,501.5364
"Psmb5",680.0323,686.5437,660.9055,667.3651,690.1768,656.4217
"Dhrs1",566.4777,550.2438,503.0486,700.6428,677.2233,614.1259
"Ppm1a",1064.375,1019.208,1021.643,1022.527,1050.607,1048.609
"Psenen",757.9512,771.3859,820.7723,826.2322,784.775,843.1342
"Anapc1",423.2823,432.9496,436.99,394.1112,391.0506,409.9464
"Mrpl43",499.81,455.9532,513.6132,507.43,457.7959,498.9446
"Nmt1",534.8624,509.7861,520.0713,649.7161,586.1787,667.8572
"Atg5",130.0781,116.9771,131.4693,101.6136,106.8985,113.4991
"Mtif2",335.5595,367.2219,320.2968,393.5669,417.6856,349.4199
"Psap",1041.939,968.798,1036.666,825.6339,853.6765,925.0029
"Ube2g1",631.9666,616.1741,633.2523,622.8419,600.8417,620.0689
"Zkscan3",227.6187,254.816,239.9342,222.3407,212.7065,226.4492
"Mrpl27",224.3361,222.0738,238.058,222.586,218.1521,196.5725
"Canx",1126.368,1081.962,1076.203,1121.106,1194.065,1118.075
"Psma1",796.4916,820.4592,794.3103,796.3175,788.5336,766.1527
"Golm1",249.8517,242.2195,294.8521,230.4028,209.3127,269.1782
"Gps1",693.3326,606.41,648.7642,664.2161,638.5922,720.9579
"Ssr3",967.9119,988.4739,1018.633,903.0388,963.74,903.4144
"Ctbp1",485.6381,511.7931,629.0401,519.4501,506.1928,602.5445
"Huwe1",480.7836,462.395,499.6582,398.8402,369.2189,460.3654
"Cdv3",955.2659,900.5714,971.6309,895.1953,916.605,849.4523
"Copa",954.1306,899.0909,919.4979,871.3581,926.5421,938.1439
"Anapc2",478.465,474.6216,496.9752,463.6833,444.571,483.0059
"Tug1",729.8383,694.4781,710.0593,639.5376,727.5408,701.9492
"Gbf1",307.4303,333.2615,339.5329,394.6926,336.9796,398.6844
"Cox18",192.052,160.0407,201.3826,187.899,153.1741,176.256
"Arfgef1",772.0975,761.447,737.5049,744.0431,811.3505,773.9025
"Zranb1",826.6642,824.8777,803.8578,837.407,880.0748,855.0681
"Ddx24",384.8794,360.4846,380.4878,373.1589,348.3908,388.143
"Tmem129",554.3553,570.5315,490.1214,581.8334,531.9873,558.5617
"Rnf220",468.0154,476.6247,433.5115,470.6803,489.6852,459.1573
"Sap30l",173.087,157.0991,189.4578,150.068,123.8078,156.6434
"Armc1",427.0605,437.6624,501.7968,534.248,445.4818,405.0602
"Mad2l1bp",90.48611,94.18921,110.2312,120.9622,108.8301,106.6555
"Naa60",149.6292,137.6666,162.8951,137.1848,115.1868,150.6182
"Vta1",435.5888,457.9405,519.2688,433.914,421.4356,453.1912
"Eif5",1324.711,1287.937,1186.883,1234.563,1293.233,1295.79
"Rrn3",748.3892,789.8549,674.1597,720.8197,762.8992,694.0771
"Ankrd17",797.5374,758.9947,793.8494,693.5364,712.8378,756.9139
"Naxe",700.864,685.6679,706.9523,729.6628,742.3016,679.3903
"Pdpk1",722.3029,772.7747,724.2189,775.2132,855.0969,731.4922
"Cpsf7",1120.791,1144.534,1055.847,1074.207,1152.982,1060.776
"Rab7",996.0594,957.349,1070.516,922.5511,985.854,920.399
"Ddb1",553.5003,500.928,479.7132,532.6284,512.5153,517.85
"Rfk",388.4989,408.1369,430.6459,357.0797,359.4498,353.4839
"Txndc12",457.6892,412.1769,402.3968,448.7596,463.8879,512.9294
"Rbm42",423.5051,355.7445,426.3,399.618,358.7863,410.1461
"Psmc5",662.6481,654.9895,654.0334,680.6017,661.447,660.1282
"Tmem165",407.8614,389.1166,362.8381,377.5385,392.3172,353.2414
"Aup1",560.5982,578.6333,586.3628,589.4905,588.4736,586.5903
"Hdac5",74.32726,88.98558,112.2426,82.85803,66.91266,84.92071
"Pfdn6",453.4962,449.1741,406.3368,501.3707,468.5631,464.4969
"Vps26c",160.9145,175.3192,162.3659,142.6691,148.1739,169.3364
"Cic",251.2689,251.0085,248.9063,224.0943,199.5756,253.323
"Dctn5",582.4616,630.9395,595.039,610.4722,608.8417,581.4888
"Rragc",675.2504,624.3955,641.3669,619.9947,662.0533,630.7106
"Tbl3",358.9018,341.1376,305.9929,346.4671,375.6669,357.3262
"Hp1bp3",557.27,504.2807,535.8941,456.0353,458.8654,489.8127
"BC031181",772.7567,762.4755,765.1497,732.0577,755.342,752.6505
"Abhd17a",233.9268,218.3819,227.8236,254.7558,230.5875,265.0802
"Polr2f",134.4112,129.5195,136.2294,110.2889,104.6276,111.4011
"Ube2v1",307.976,320.7899,331.6785,290.1506,281.3577,301.5715
"Fryl",765.4312,682.8824,746.7986,611.9057,653.0308,651.4695
"Atox1",565.1158,580.8906,647.4451,621.545,580.5905,580.106
"Tmem234",563.8434,525.5169,546.6782,536.5524,499.7504,546.9481
"Sec22b",688.4182,716.5089,676.8997,680.2059,702.5499,673.5365
"Ube2r2",334.0707,310.8185,344.3986,285.8587,288.649,337.3498
"Itch",520.3263,584.9605,533.1092,547.5787,552.0517,506.3226
"Ncl",991.4794,948.9966,958.0512,846.0089,948.2883,857.6897
"Aldh3a2",484.975,405.6194,489.4952,421.3495,374.7484,410.5891
"Pnliprp1",2.666023,2.719062,5.14628,2.456425,4.41063,3.149963
"Actg1",1617.916,1542.005,1514.766,1490.892,1603.141,1554.961
"Sumo2",1180.222,1213.157,1116.922,1192.947,1265.422,1220.681
"Vps35",867.4831,880.7131,824.7982,870.6867,877.1859,887.7167
"Cct8",1308.372,1270.106,1205.11,1225.721,1283.242,1143.587
"Pgc",7.964469,6.733818,1.776169,4.363726,5.947876,3.801392
"Ganab",663.4085,649.5275,662.941,612.7444,633.236,599.4849
"Rnf34",589.0588,573.9412,599.6693,642.3797,634.6146,608.1028
"Rbck1",223.446,202.6391,226.6102,207.778,189.4577,197.0591
"Pnpo",171.6368,136.7272,159.647,119.9618,101.339,108.4899
"Spin1",908.6193,867.9445,892.2449,818.323,850.9147,831.7593
"Wbp11",905.3176,937.1831,866.3373,1012.197,1015.465,996.9938
"Slc16a1",952.921,922.92,930.8492,904.8373,871.3789,872.861
"Cx3cl1",31.46523,41.60398,54.54657,25.33023,27.15608,32.93876
"Clps",1.700065,5.787127,10.40755,4.266775,2.036355,1.709305
"Plat",126.9997,143.2076,173.4023,121.956,116.5335,138.5904
"Tpbpa",3.064066,4.726276,1.507236,3.662741,2.813939,2.275801
"Uhrf1",1041.591,1018.583,976.309,1037.118,1079.162,1007.012
"Api5",1369.087,1345.582,1326.102,1366.27,1401.161,1379.262
"Cct7",1364.801,1286.997,1309.483,1323.607,1366.672,1394.54
"Anxa6",168.204,138.0864,189.4773,138.8885,108.1909,145.6634
"Nptn",692.0757,699.3965,740.785,618.672,598.6415,657.487
"Scd2",1149.155,1131.569,1114.192,1012.853,1058.638,1054.902
"Atp6v1h",761.8582,718.8383,745.4418,702.1561,790.0227,719.5282
"Serp1",688.6589,611.8179,649.574,786.2122,736.6508,794.2263
"Lbr",1003.876,978.6181,888.3348,926.1501,987.1589,951.3956
"Orc5",450.7621,450.9019,421.5217,455.9801,492.0002,442.494
"Psmd2",1213.234,1189.247,1154.561,1192.789,1227.553,1224.752
"Agtr2",21.91444,28.86638,21.66165,25.09463,18.14591,20.73457
"Dusp6",249.8682,269.3893,270.8319,242.1139,244.7155,197.0277
"Prl3b1",3.136931,2.544107,1.162371,1.356008,2.238114,1.470327
"Dync1i2",781.2577,815.5569,660.1645,721.2802,750.1636,792.9971
"Mlst8",48.59994,50.9196,56.49712,51.94861,42.31902,48.98077
"Syt4",4.267392,7.485563,8.315871,6.893187,6.107486,3.698146
"Ldhc",2224.202,2148.003,1926.553,2062.909,2233.399,2159.317
"Prl3d1",2.112815,0.6140859,0.9089154,2.56811,2.274135,0.697095
"Stmn1",1650.519,1556.432,1520.789,1479.799,1603.293,1529.707
"Rasa3",106.5934,110.6158,104.0048,97.192,89.15386,100.6611
"Def8",26.16881,38.60336,40.39339,38.4594,29.45587,22.47626
"Kitl",776.1714,691.2313,786.0122,677.0228,590.9654,628.6606
"Emb",208.2742,268.9848,329.4939,195.3504,206.3959,333.4605
"Kpna2",1188.699,1145.053,1085.393,1191.459,1262.595,1187.878
"Tyrp1",0.1036181,0.5092673,0.9205608,0.2765424,1.152162,0.492788
"Eif4g2",1440.719,1415.578,1278.438,1288.268,1377.207,1422.775
"Bpgm",424.2084,416.052,451.9357,527.7031,507.4257,478.4901
"Trim28",916.8162,842.8065,841.9173,872.3609,879.5305,939.341
"Calu",653.3682,699.9886,747.7529,566.9471,561.9166,597.6565
"Hnrnph1",1513.083,1501.383,1437.765,1431.364,1565.014,1454.772
"Actr1a",1249.051,1148.692,1133.393,1252.46,1308.666,1278.403
"Spry1",64.07244,66.59611,85.35863,61.97797,59.26956,34.86088
"Rps26",1171.309,991.4599,1037.182,1053.918,1021.217,1049.39
"Rrm1",455.206,442.6932,443.0411,489.7188,466.0486,502.7856
"Rplp2",1464.157,1364.033,1439.793,1330.712,1464.899,1371.859
"Lamp1",1228.535,1213.184,1170.75,1257.085,1312.961,1275.057
"Ghitm",746.9035,741.3389,741.389,745.486,738.1469,703.8216
"Chgb",84.29256,77.47142,72.46523,112.1768,108.299,132.8099
"Sh2d3c",20.91388,15.25797,23.88802,13.36848,18.89997,12.9813
"Tfg",827.26,861.9524,852.352,811.0882,848.1176,842.259
"Hsp90b1",1303.955,1257.679,1178.26,1238.741,1373.958,1250.074
"Papss1",146.8969,153.0387,173.3197,132.5959,103.7987,122.2584
"Suclg1",1054.315,1128.286,1087.385,1148.608,1177.797,1127.085
"Sgpl1",441.2709,444.997,476.7953,396.8311,366.0594,404.7888
"Mgst1",967.3733,953.2178,1081.683,883.9748,864.4106,814.4365
"Junb",12.53247,23.9062,23.61724,17.10748,18.74718,16.1481
"Plod3",71.94902,51.70272,69.33192,69.54526,44.82636,59.89396
"Slc38a1",12.14919,11.64698,19.9998,9.149004,16.03752,10.70871
"Lpl",161.1251,213.6858,318.6486,115.9727,118.7928,226.443
"Reg1",0.347852,0.3365026,0.633166,0.5312542,0.9214836,0.3940647
"Tmsb4x",1701.719,1724.625,1759.319,1732.168,1638.947,1620.039
"Ccnd3",94.4495,93.70283,122.5029,98.79285,63.79663,115.467
"Tspyl1",433.2278,417.2176,350.3745,421.9995,408.0436,278.8307
"Stip1",368.3541,394.0573,409.3331,389.4797,390.5985,401.3822
"Ciapin1",458.7731,454.8572,398.1959,460.3513,494.1099,515.9778
"Impact",335.945,288.2341,331.4113,262.5512,222.9346,241.0777
"Ddx1",1046.129,974.8604,1002.951,1052.481,1066.766,1040.171
"Mthfd1",341.9867,255.5493,361.9328,287.2707,236.4476,314.5182
"Tpi1",448.291,492.1468,523.7839,570.9363,531.517,548.1136
"Npdc1",106.7471,100.8823,117.1456,94.02586,77.63354,99.05815
"Cstf2t",678.8371,645.6867,602.3542,739.3046,715.6286,699.5256
"Tnp1",15.0019,16.74951,21.34044,22.14344,17.97069,46.89814
"Nup62",800.5317,749.9052,730.9663,855.4344,837.2316,803.8828
"Actc1",1.662056,5.787889,3.582199,0.6671134,4.577898,3.034428
"Map1lc3b",950.7667,976.5328,977.5721,915.3431,992.0147,925.0255
"Atp9a",165.6438,181.874,177.9064,166.487,151.3543,187.6091
"Cops8",753.2262,795.2743,725.6407,801.022,825.3971,789.4734
"Smoc2",485.7097,484.9465,467.3298,546.3656,438.7756,450.197
"Bcar3",143.0554,156.2087,182.0743,141.6257,150.0065,160.9504
"Spink1",0.9025385,2.768766,1.470117,0.3774822,1.737416,0.7709506
"Sdc1",361.0331,295.0425,406.4169,270.271,227.7804,261.7057
"Mcm5",230.1928,216.2117,239.1662,221.4123,200.7292,227.9333
"Creg1",551.379,613.6588,723.9561,605.7718,643.2419,599.7497
"Cpe",1290.386,1204.87,1306.921,1138.35,1173.544,1177.318
"Fkbp10",90.34261,119.3394,141.6906,101.4965,83.48486,76.13173
"Prm1",28.16043,24.93527,33.75066,32.80345,25.17025,26.62994
"Slc2a4",28.7698,39.85135,34.03143,29.87858,27.29829,29.76698
"Mpo",77.82007,81.81072,60.22932,68.53201,78.80058,53.22045
"Itm2c",619.9311,664.9734,813.6514,544.1601,498.5249,597.5285
"Eif3h",1303.36,1215.643,1203.974,1258.32,1372.689,1190.729
"Hnrnph2",401.4291,412.7465,497.7524,376.7618,406.6872,412.9146
"Scd1",449.7775,620.7542,574.1682,506.336,442.3028,518.9932
"Kap",9.303294,13.59296,10.38652,9.811416,12.86902,10.51079
"Marcks",1041.409,1061.662,1104.55,1018.062,983.4789,967.0826
"Map2k2",217.6736,250.3096,244.0802,249.1684,242.0125,270.0511
"Carhsp1",608.2514,593.0864,673.3362,518.2565,533.7401,522.8012
"Isyna1",642.9713,639.2847,651.8827,665.1845,633.2783,645.1458
"Tubb3",282.6667,365.4988,443.9954,281.7474,242.4073,336.5982
"Rpl7",1441.913,1372.114,1360.176,1347.785,1368.525,1315.152
"Atp5g2",533.4172,537.2294,588.29,524.868,495.8064,467.2124
"Herpud2",651.1666,652.5569,682.3762,629.3175,623.1327,651.2206
"Lcp1",202.315,223.2135,370.1827,195.4994,154.7822,214.0422
"Acadm",369.0923,354.4068,435.1449,317.1458,310.3931,339.9771
"Sf3b3",918.8948,938.9796,896.9794,851.4763,812.1929,898.9644
"Clcn4",258.7742,274.1307,262.3138,269.9953,274.1117,268.7245
"Vdac2",1261.642,1185.991,1204.524,1257.665,1311.421,1290.368
"Sqle",326.7129,336.837,331.6487,355.3738,321.615,383.4394
"Cyp2e1",28.02928,32.54147,20.12053,4.610017,14.18286,11.55342
"Casp6",160.9709,160.5572,184.6542,128.3794,116.5632,132.2777
"Txnip",989.8809,1067.539,955.5795,956.705,1066.399,755.1508
"Hey1",119.6795,117.2638,120.7778,135.2814,133.2646,141.0637
"Cldn11",1023.574,956.1158,933.947,886.3463,907.0604,940.3418
"Ywhah",693.0627,627.5104,701.2289,633.9005,647.7615,658.7791
"Psmc1",903.0726,822.2808,865.4855,839.7823,875.1559,811.8633
"Mdk",140.5943,135.5916,144.7196,136.8059,105.1095,139.6655
"Satb1",197.9834,166.5468,196.629,176.7247,129.8863,166.8878
"Tspan3",619.9589,572.5308,629.0131,604.1378,610.2891,603.6389
"Ehd1",753.7731,668.1499,696.7355,864.0895,768.7568,908.8027
"Pld3",330.0745,383.3484,483.1017,268.3549,274.6431,314.9189
"Abce1",975.4501,877.9057,863.8799,903.317,909.251,870.2937
"Copg1",498.1288,497.7402,542.5772,473.1794,502.7071,487.3848
"Dr1",854.6796,873.333,699.998,884.6564,945.2859,887.8915
"Atp5g1",697.4205,677.1033,711.6697,628.2235,648.4766,621.3278
"Fabp5",999.2216,948.337,1059.337,827.147,805.8679,915.5621
"Fabp3",739.0616,1004.6,1400.234,633.0392,560.0728,828.6148
"Fgg",11.2741,11.4959,10.54994,13.49917,7.442117,13.08797
"Pdcd6",670.1508,645.2557,728.3068,607.3905,628.6668,614.7462
"Jpt1",1312.958,1272.807,1222.927,1310.928,1368.001,1274.903
"Klf10",822.6281,800.4736,825.3758,734.4482,762.2686,758.3107
"Snd1",273.3741,310.4155,341.7443,283.4841,227.0028,267.2586
"Ccn1",93.96574,103.3087,75.70266,100.224,90.05947,53.80005
"Lipf",1.112216,3.195825,1.135957,9.687725,1.553724,7.178728
"Sgk1",519.8999,546.28,610.8553,469.0345,449.5336,483.1445
"Nasp",903.4374,881.1505,839.0083,980.0191,1053.083,908.5258
"Fuca2",367.1073,409.819,440.7046,307.7067,306.1904,328.028
"Gldc",122.9955,103.0132,82.53469,131.204,130.294,124.5243
"Scarb1",649.1141,615.4682,635.5483,503.9338,556.6542,462.7767
"C2",145.1905,158.1207,250.2959,135.6156,108.614,149.8095
"Prps1",533.1323,474.7597,523.7936,435.7381,418.0005,472.1143
"Lrrn1",23.22791,28.15535,31.91446,21.35083,17.59592,19.74133
"Rps5",1169.71,1147.986,1197.914,1143.749,1189.756,1194.758
"Ndufb11",1322.999,1208.198,1282.241,1143.553,1027.209,1088.732
"Atp5c1",1385.203,1230.633,1253.786,1256.357,1281.427,1320.579
"Sec23b",621.1317,594.2767,609.3986,610.67,549.5605,613.242
"Tbc1d15",854.2402,735.5214,780.4965,836.91,904.2425,862.364
"Ceacam11",1.443429,1.390945,0.09550844,1.967338,0.2055394,1.677951
"Ankrd10",909.2585,919.3409,751.4108,781.8241,912.52,845.5822
"Cd9",202.0186,215.1904,247.0364,185.6575,192.7052,147.2707
"Ifrd1",567.5417,612.7103,649.3173,526.3621,602.306,525.418
"Kars",534.0208,526.9853,529.6556,522.7483,531.0815,536.0784
"Pfkp",548.0779,510.6454,440.2472,608.1506,625.1485,626.2184
"Ddx18",681.1808,619.7443,616.1762,661.7806,689.2959,659.3602
"Cd34",355.9768,391.5187,460.2732,348.138,291.4013,330.4049
"Adm",13.86768,15.92728,22.36159,23.93187,14.57907,13.30505
"Arpc1a",546.0254,554.1495,664.3066,599.17,591.7695,564.4589
"Rab1a",1027.436,1007.172,974.8309,955.1493,1000.864,972.2599
"Zfand5",852.2886,841.4103,815.9399,808.9031,800.0469,781.8567
"Tpst2",129.0784,114.8689,138.1052,98.48132,98.72836,108.5613
"Ap1s1",134.934,153.859,151.9415,147.1501,154.893,128.3616
"Rps15",1541.111,1490.718,1477.358,1486.233,1542.132,1462.77
"Pdhb",1108.813,1076.97,1012.568,1059.838,1101.265,1104.025
"Map4",945.6119,868.6068,914.7449,906.7636,915.826,894.9704
"Mrpl20",603.9532,637.9183,658.4282,679.3176,655.7586,650.6075
"Adam9",657.6394,703.6219,797.2319,555.0386,565.9632,618.2272
"Sarnp",624.1136,627.0804,594.254,605.8739,659.8041,636.4181
"Lrrc4",21.72017,24.20234,32.70792,30.37172,30.85272,32.99797
"Syngr3",7.949473,1.773757,5.229409,3.226232,0.9511329,3.276721
"Eif3d",739.2819,728.3466,727.1581,726.6539,799.0717,700.5437
"Mpdu1",210.3797,220.3587,253.9027,219.2415,184.6629,244.8649
"Kti12",232.0719,207.0845,238.187,216.9229,184.3559,253.1099
"Nsg2",11.27922,12.46507,8.992771,6.949062,7.887657,9.531598
"Tmed3",615.5667,621.9128,666.9876,593.1484,539.0591,621.2329
"Fuca1",1012.407,963.313,1055.834,847.8149,832.5091,908.6597
"Cd83",27.74636,24.92485,41.83913,15.0057,13.94013,26.42144
"Fkbp8",364.1374,371.403,347.2907,390.5383,316.6793,407.2013
"Sparcl1",165.4273,143.7936,261.5456,177.1905,84.61325,154.7864
"Orc3",452.0431,443.74,417.1264,484.6056,520.9235,455.4271
"Trim59",669.1461,708.7949,658.3825,738.175,729.6537,677.192
"Txn1",1216.999,1262.567,1373.792,1112.039,1081.747,1178.083
"Lox",97.39482,129.265,206.8897,102.3979,85.80862,118.7208
"Fkbp5",307.6918,365.6784,425.6746,284.2549,267.307,342.4881
"Polr1b",68.2548,57.65284,50.96111,51.54873,45.23456,27.76628
"Errfi1",953.1616,987.9911,1123.588,856.5276,892.1387,902.0568
"Efr3a",598.0125,655.2762,551.7675,684.8033,719.0313,670.2578
"Anxa7",265.6046,243.2881,291.6038,259.8069,256.2732,281.3513
"Reg2",2.489278,7.476249,3.059465,0.9398325,4.541238,3.294113
"Rps6",278.4824,277.1,288.407,283.6321,256.9984,275.5919
"Atp5j",1212.69,1205.446,1228.998,1236.911,1338.078,1239.142
"Dhx15",1120.368,1106.734,1074.881,1041.288,1111.388,1124.194
"Hspa4",1293.159,1224.701,1224.934,1289.086,1397.877,1224.956
"Olig1",14.06459,23.33784,26.2096,11.55527,11.92294,16.21048
"Srsf3",1368.981,1258.578,1256.988,1279.028,1322.284,1279.906
"Hmgb3",750.7303,640.2358,754.8928,600.4015,602.7636,642.68
"Vcl",1437.191,1418.008,1377.383,1273.203,1283.628,1316.627
"Nr2f2",479.3704,478.9131,540.1624,575.975,444.2635,437.9492
"Cops4",757.2591,682.4343,751.3978,731.4999,784.4146,868.232
"Fbln5",277.553,315.5552,383.8647,267.8397,280.6344,257.7758
"Rab31",954.33,981.9521,996.254,912.0706,877.0833,902.9487
"Prdx4",1132.448,1031.012,1115.063,1001.965,1000.942,1115.897
"Serpinf1",289.6695,386.0687,449.1261,323.0942,311.1422,274.3243
"Trap1",576.2422,551.3608,569.9812,578.178,549.1763,527.867
"Kansl2",999.9326,1024.262,1045.005,980.1882,1002.437,975.3182
"Pes1",334.2359,318.3763,317.9044,343.2764,327.2228,331.6294
"Rbbp9",192.1124,240.3036,220.503,171.0141,171.4525,199.8719
"Vdac3",1259.819,1156.649,1145.196,1206.433,1182.755,1180.15
"Rbmxl1",608.9684,570.3328,550.4833,574.5729,594.9808,632.8631
"Plekhb1",28.25599,38.09151,43.16977,26.86421,24.54914,38.26777
"Mesd",1142.054,1045.891,1107.521,1077.354,1137.037,1110.697
"Apba3",101.7262,92.92954,92.55834,99.14161,100.5398,93.07077
"Adh5",1214.187,1087.024,1191.455,969.5995,966.2226,988.423
"Pnrc2",915.8276,917.5858,851.983,902.1587,934.7462,867.8705
"Sec61a1",873.1984,878.697,916.6219,891.97,871.4716,863.2833
"Car1",0.2567678,3.077255,2.398669,0.2260645,1.188334,0.6201394
"Cyp4b1",4.590394,6.188294,3.294754,1.90934,4.7365,4.963947
"Inpp5k",288.5063,299.027,293.4868,370.5443,361.1996,370.0963
"Snrpc",664.4066,714.8781,647.443,782.2154,773.2158,682.4709
"Nelfcd",269.5793,260.6226,248.1714,236.3704,265.0958,247.9428
"Kifc3",95.61378,100.5362,95.56509,113.8086,102.8986,122.3665
"Il33",43.23181,53.83139,52.30901,48.84232,55.2003,67.96217
"Aqp1",12.17924,15.30944,12.60549,13.2261,10.80684,13.01587
"Glb1",102.8231,105.8109,130.9112,80.48362,71.93779,113.7212
"Sipa1",73.63435,70.98237,70.06753,51.20007,66.38312,53.18758
"Taz",386.2233,317.5691,373.5709,282.1836,268.7668,299.0205
"Usp14",404.8222,411.668,383.8412,383.6955,395.0892,368.6818
"Imp3",506.5638,516.3749,550.2515,511.0602,451.8506,488.3229
"Magoh",791.5023,785.4589,843.3298,745.6379,803.1079,735.8269
"Gosr1",395.2471,410.6103,378.1786,396.8253,417.0527,363.5278
"Reps1",584.5503,541.1201,618.8188,556.5206,541.5427,602.58
"Rpl19",1967.501,1878.689,1986.31,1834.628,1930.543,1714.156
"Spcs1",1208.385,1179.911,1108.718,1121.081,1232.856,1171.697
"Nsdhl",165.3052,186.2312,270.8573,127.9073,124.6564,181.5688
"Sh3bp5l",242.5319,268.2841,253.9262,246.1175,249.8658,233.1778
"Zbtb17",132.6842,145.663,135.3518,152.9368,121.1423,165.2542
"Adh1",356.1331,127.5912,194.9564,144.1134,124.996,173.6615
"Arpc1b",397.3746,383.8317,486.7068,336.9753,315.5436,327.3223
"Pin1",191.8794,213.4468,210.5382,194.0111,203.8157,175.371
"Vac14",140.8251,141.2696,164.0699,140.7747,117.1669,150.9046
"Olig2",1.685335,5.4364,3.142841,0.9227995,0.8461799,2.282599
"Lrrc59",718.4738,668.4622,742.709,758.7519,741.561,766.2778
"Mpzl2",120.2993,201.7345,229.5515,115.0592,108.4855,163.0492
"Tie1",17.16298,23.31949,23.09534,15.20472,22.13421,22.07774
"Psmb7",1292.863,1367.144,1189.277,1419.028,1566.439,1354.046
"Sec13",619.5656,633.616,646.0514,633.7548,680.5874,604.0659
"Aurkaip1",481.0691,439.6634,494.2252,537.7877,485.7156,501.0851
"Dctn3",309.7708,317.8228,313.4238,342.1145,299.7881,356.4429
"Nadk",590.657,518.2938,518.5276,452.547,467.0232,585.5165
"Stk38",554.9636,530.8428,506.8196,498.151,527.4464,531.4969
"Cdkn2d",334.1215,344.4279,320.9269,372.1502,383.7892,369.3316
"Vps16",490.0616,438.6656,436.2491,464.4887,445.9806,451.0666
"Gja4",29.84969,34.88541,43.18695,33.8306,41.08746,36.21236
"Capn2",162.5913,173.4023,208.9619,135.7345,141.4605,168.799
"Tk1",87.57303,99.26698,105.672,72.52695,67.61834,85.30515
"Pex12",205.0752,195.6365,172.3394,207.1333,189.0548,237.9159
"Snx1",496.1761,553.7529,489.9273,602.0066,651.4497,606.6791
"Tmem19",321.2359,349.8608,385.4845,321.7668,300.5818,271.3686
"Abcb9",53.67754,69.51873,61.4195,78.09347,76.95567,68.03494
"Capn10",377.7136,332.8359,376.7058,312.9832,281.3973,360.5986
"Pdyn",1.587328,1.630427,1.697819,1.534225,1.690947,1.16272
"Scoc",392.7089,429.6407,363.6086,366.1815,387.9622,373.1466
"Ets2",522.0844,452.0453,561.047,455.2043,374.9662,478.8613
"Polr2g",791.4437,875.5915,840.7371,875.3306,882.835,888.5104
"Perp",124.7609,123.8362,133.6038,150.5515,121.6106,121.2907
"Lamtor3",653.8893,623.3323,641.9888,569.5966,559.7456,606.5468
"Ctns",126.5311,137.8113,124.1221,119.5515,129.8337,113.7235
"Slc26a6",74.10522,59.5151,73.47295,60.24643,51.40012,77.73449
"Rps4x",1004.887,1013.77,1066.692,936.138,928.4973,916.9382
"Ap1b1",347.889,366.0939,383.0123,353.1821,346.793,405.9604
"Wdr45b",563.7335,511.7295,544.0029,481.6425,467.0565,569.5819
"Psmc3",1238.811,1127.406,1124.443,1240.664,1236.149,1204.012
"Gart",396.1917,364.532,423.7704,344.8232,293.1452,340.5088
"Mrpl28",291.201,296.2303,321.3566,290.7513,276.4787,276.8124
"Rgs4",21.07156,25.77264,31.2148,18.79274,15.72561,18.53701
"Dnaja1",1102.425,1082.242,1080.028,1062.253,1142.41,1122.094
"Plod1",170.5149,169.7405,201.2133,154.1624,119.9875,144.3815
"Psmc4",1357.377,1284.35,1185.562,1193.333,1196.096,1263.042
"Prdx3",765.9885,712.3426,800.8945,661.9609,628.1742,629.6525
"Scamp3",362.4374,378.3871,370.3646,363.1363,380.168,381.1166
"Il2rg",36.1845,45.24261,48.60887,28.61036,32.18069,41.10382
"Reg3b",12.13478,7.112064,7.03507,5.776384,9.822474,7.984722
"Mmp9",21.50039,18.5075,13.68211,15.05795,11.5591,13.66857
"Shcbp1",301.7886,288.5052,262.4342,365.3534,317.9881,395.7533
"Slc25a3",1016.038,931.121,993.5667,872.0611,937.1708,927.1295
"Ebf1",192.9045,278.8396,280.2959,232.8194,248.1352,212.6543
"Litaf",714.1257,646.9535,739.4698,636.782,651.4222,602.7274
"Sh3bp4",35.98964,37.67648,45.66209,26.48239,32.76928,34.9568
"Clca1",12.63321,13.48211,15.22677,15.11196,11.68788,12.46995
"Ap1m1",452.8501,442.2533,419.6023,465.1954,481.7158,524.8872
"Ugdh",278.9238,254.205,277.6499,260.3302,227.7467,239.3631
"Nusap1",490.4771,463.3564,451.284,563.9815,543.3902,539.2797
"Rars",637.9549,679.8499,694.4241,582.5715,596.8235,587.5357
"Mllt11",569.8891,520.5238,505.1302,689.4822,680.9794,696.7562
"Slc27a2",111.2825,92.84389,117.3631,110.1018,94.4328,97.35732
"Serpinb1a",114.5103,125.0459,190.5824,98.92081,101.8621,108.7748
"Sec22a",330.5811,331.3504,302.6239,366.6049,363.3347,361.4336
"Prelp",143.488,130.3077,122.0769,166.0569,145.3584,169.6776
"Kctd20",637.072,646.4251,654.6897,627.5603,630.0872,598.953
"Crisp1",367.7706,159.7316,211.9348,463.1105,290.061,516.8292
"Crip1",200.2991,180.1237,234.2235,270.8288,177.7798,258.698
"Ufc1",710.7894,682.65,755.4369,683.0573,643.2343,646.7227
